id_relatore;nome;cognome;cv_parsed
1;Alan John;Camm;
2;Alberico Luigi;Catapano;Alberico L. Catapano è nato a Milano nel 1952. Si è  laureato presso l'Università degli Studi di Milano nel   1975 e ha ottenuto la specializzazione in Farmacologia   Clinica nel 1979. Dal 1972 il suo campo di ricerca   riguarda aterosclerosi, lipidi, lipoproteine e dislipidemie   genetiche. Dal punto di vista scientifico ha effettuato   osservazioni chiave ed originali riguardo i ruoli del HSP’s   e della Pentraxina nell’aterogenesi, sul ruolo delle HDL   nella immunomodulazione e nella implementazione della genetica, nella individuazione di target   farmacologici. Alberico Catapano è Professore Ordinario di Farmacologia presso l'Università degli   Studi di Milano, Direttore del Laboratorio per lo Studio delle Lipoproteine e Aterosclerosi e del   Centro per lo Studio, Prevenzione e Terapia della Aterosclerosi della Società Italiana di   Aterosclerosi (SISA) al "Bassini" Hospital. E’ anche il Direttore del Centro Interuniversitario di   Epidemiologia e Farmacologia Preventiva dell'Università di Milano (SEFAP), inoltre dirige il Centro   dislipidemia presso IRCCS Multimedica.  Il Professor Catapano è il past President della European Atherosclerosis Society (EAS) e il   Chairman delle linee guida EAS / ESC per il trattamento di dislipoproteinemie. Ricopre incarichi   in molte importanti Società Scientifiche, tra cui la Società Italiana per lo Studio di Aterosclerosi:   è anche Presidente della Società Italiana di Terapia Clinica e Sperimentale (SITeCS ) e Direttore   Generale della Fondazione SISA.   E’ autore di oltre 460 pubblicazioni scientifiche su riviste e diversi libri in materia di aterosclerosi,   lipoproteine, lipidi e metabolismo. Egli è l'editor di Atherosclerosis Supplements. e, inoltre,   editore associato di numerose riviste, tra cui "Atherosclerosis.   Secondo Google Scholar il suo h-index è 85 e negli ultimi cinque anni le citazioni sono superiori   a 20.000.
3;Adriano M.;Henney;
4;Alberto;Bardelli;
5;Alberto;Mattioli;
6;Alberto;Zanchetti;
7;Alberto;Zanobini;
8;Alejandra C.;Vivas;
9;Alessandro;Mugelli;
10;Alexandre;Belot;
11;Alfonso;Represa;
12;Aline G.;Costa;
13;Aliya;Khan;
14;Amir Ali;Hamidieh;
15;Anatoly F.;Romanchisen;
16;Andrea;Bianco;Full Professor of Respiratory Diseases - Department Translational Medical Sciences –  University of Campania " L Vanvitelli" – Naples- Italy  Director of Specializing School of Respiratory Diseases - University of Campania " L  Vanvitelli" – Naples- Italy  President of Study Group Oncology of SIP/IRS (Italian Respiratory Society) (2022-  2023)  Co-ordinator of the Course of Malattie Respiratorie for Degree Course of Medicine  and Surgery- Naples Università degli Studi della Campania “L Vanvitelli” Italy  Co-ordinator of the Course Respiratory Diseases for English Degree Course of  Medicine and Surgery– Università degli Studi della Campania “L Vanvitelli” Italy  COVID Unit Pneumologiy Unit Vanvitelli – Hospital Monaldi – University of Campania “L  Vanvitelli”  Faculty Member of PhD course of Translational and Clinical Medicine - University of  Molise Campobasso – Italy  Member Task Force COVID SIP/IRS (Italian Respiratory Society)    PUBLICATIONS  252 Scientific publications  140articles “in extenso” 
17;Andrea;Bacigalupo;
18;Andrew J.S.;Coats;Experienced cardiologist, academic and business leader with a career spanning university  leadership, and clinical practice. Author of more than 20 awarded patents.   Fully accredited physician and cardiologist in the United Kingdom and Australia, and a qualified company  director (London Business School MBA, Fellow of the Australian Institute of Company Directors and  Member of the Institute of Directors, London).   More than 50 board years of experience, and trained and experienced fund-raiser with in excess of $500M raised.   Over 750 peer-reviewed full papers, over 98,000 career citations and an H-Index of 133.   Named one of the top 1,000 researchers of all time by the Webometrics Ranking of World Universities. Holder of two higher doctorates (DM, Oxon, and DSc, Imperial) for separate research areas.   Has held senior offices in Professional Societies, including being incoming President of the largest international specialist society in his field (Heart Failure Association).
19;Anna ;Dominiczak;
20;Anna Maria ;Gori;Dipartimento di Medicina Sperimentale e Clinica  Università di Firenze  SOD Malattie Aterotrombotiche  AOU Careggi  (Firenze, IT)
21;Anthony ;De Franco;
22;Antonio ;Aversa;
23;Antonio ;Coca Payeras;Antonio Coca is Honorary Professor of Internal Medicine, School of Medicine, University of Barcelona, Spain, and former Chief of the Hypertension and Vascular Risk Unit of the Department of Internal Medicine at the Hospital Clinic, Barcelona, Spain (1984-2018). Past-President of the Spanish Society of Hypertension (2004-2006), honorary member of the Latin American Society of Hypertension (LASH), the InterAmerican Society of Cardiology (SIAC), the Central American Society of Hypertension (SCCH), the Argentinean Society of Hypertension (SAHA), the Venezuelan Society of Hypertension, the Peruvian Society of Cardiology, and the Portuguese Society of Hypertension. Fellow of the Royal College of Physicians of London (FRCP) and Emeritus Fellow of the European Society of Cardiology (EFESC). In 2007 was Elected member of the Scientific Council of the European Society of Hypertension, serving currently as “Executive-Officer” responsible for relationships with Latin America. Past-Chair of the Council on Hypertension of the European Society of Cardiology (2012-2016), Past-Chair of the ESH WG on the Brain & Hypertension (2014-2016), and past-member of the Committee for Practice Guidelines of the European Society of Cardiology (2016-2018). Editor of 59 books on various topics within the field of hypertension. He has published more than 600 papers in international journals and has presented more than 900 invited lectures at international and national meetings and universities. He has been member of the steering committee, as well as the Spanish coordinator, of several large-scale international trials in hypertension.
24;Antonio ;Colombo;
25;Athanasios J. ;Manolis;Current Position  Director Cardiology Department, Metropolitan Hospital, Piraeus, Greece  Adj. Clinical Professor of Medicine, Emory University, Atlanta, GA, USA  Adj. Assistant Professor of Hypertension, Boston University, USA     Special area of Interest and Expertise  I am interested in all aspects of Hypertension, Coronary Heart Disease, Heart Failure, Atrial Fibrillation and Genetics in Hypertension.     Other Activities  Past President and General Secretary of the Mediterranean Association of Cardiology and Cardiac Surgery  Council member of the European Society of Hypertension  Past President of the Working Group “Hypertension and Heart“ of the European Society of Cardiology  Past President of the Working Group “Hypertension arrhythmias and thrombosis“ of the European Society of Hypertension   Past President of the Hellenic Society of Hypertension  President of 2014 Joint meeting of ESH/ISH, Athens, Greece  President of the 2nd Advanced Committee of the Greek FDA    Editorial Board and Publications  Associate Editor of the European Journal of Internal Medicine  Member of the Editorial Board in 5 Journals in the field of Hypertension and Cardiology.  I have been involved in more than 80 multicenter trials as national coordinator or principal investigator and in committees in the area of Hypertension, Heart Failure, Coronary Heart Disease, Atrial Fibrillation and Genetics (NIH).  Moreover, I have written 30 chapters for medical books and have published more than 350 papers in peer reviewed  International Journals in several aspects of Hypertension, Heart Failure, Coronary Heart Disease, Preventive Cardiology, Atrial Fibrillation and Genetics, with an Impact Factor > 1.500 and Citation Index > 55.000.  And the same time, I have given more than  500 lectures in International Meetings.     Member  European Society of Cardiology  American College of Cardiology  American Heart Association  Hypertension Council of the American Heart Association  European Society of Hypertension  International Society of Hypertension  
26;Barbara C. ;Silva;
27;Bart L. ;Clarke;
28;Bernhard ;Hess;
29;Bijoy K. ;Khandheria;Director of Echocardiography Services, Advocate Aurora Health Care, Cardiology  Director, Global Health and Executive Program  Professor of Medicine, University of Wisconsin  Past President, American Society of Echocardiography  Wisconsin, USA    He is currently the Director of Echocardiography Services in Aurora Health Care Cardiovascular Services, the Director of Global Health and Executive Program, and the Professor of Medicine in the University of Wisconsin in the USA. He has 22 years of clinical, teaching and research with the Mayo Clinic, in both Rochester, MN and Scottsdale, AZ, earning recognition in the field of echocardiography. He served as the 16th president of the American Society of Echocardiography (ASE) and sits on the editorial board of several prestigious cardiology journals including the Journal for Amercian Society of Echocardiography and the Journal of American College of Cardiology Imaging. He has authored and co-authored over 250 articles and edited two books on echocardiography.
30;Bradley J. ;Undem;
31;Brendan J. ;Canning;
32;Bruno;Trimarco;
33;Carla;Di Dato;
34;Carlotta;Montagnani;
35;Carmine Dario;Vizza;
36;Carmine;Savoia;
37;Carolina;Florian;
38;Caterina ;Minniti;
39;Cesare ;Greco;
40;Christian ;Gratzke;
41;Christian ;Torp-Pedersen;
42;Claudia ;Mannini;
44;Claudio ;Ceconi;
45;Claudio ;Ferri;Claudio Ferri was born in Rome on June 1957 and developed his career firstly at the University of Rome and then at the University of L’Aquila,  where he is currently Full Professor of Internal Medicine and Director of the UOC of Internal Medicine and Nephrology, and of the School of Internal Medicine     He published more than 300 peer reviewed papers on cardiometabolic diseases and different textbooks for students and residents.   He was President of the Italian Society of Hypertension and is currently the secretary of its Scientific Board  
46;Clive ;Page;
47;Concetta ;Quintarelli;
48;Cristina ;Bachetti;
